"driver_id","trip_id","started_at","acc_3050_avg","acc_5090_avg","gyroscope_distance_avg","acc_highway_sq_of_diff"
29,"0896DE44-D9E0-41DB-800D-7D3CCAEB1FEF","2021-10-21 13:31:19.0",,,,
29,"089A9B1B-F95D-4CC3-82A9-48FC6686A03F","2021-09-11 14:22:24.0",1.68889,2.72,0.0517026,0.0
29,"08A29BB9-8A2C-48EE-AE60-8413E7BE7188","2020-06-14 13:51:07.0",2.23837,0.999802,0.0666326,0.0
29,"08A86771-7ED1-4BF7-91AC-1EAD8D19816B","2021-05-15 14:56:02.0",1.63925,1.05,0.286518,0.0
29,"09684408-6950-4B82-95DA-8F70C1F3F13C","2021-07-28 08:16:54.0",1.51484,0.745714,0.11686,0.0
29,"0972A480-BA93-450D-9387-DF5C16FE1120","2021-01-30 12:02:01.0",1.18047,2.22,0.0625263,0.0
29,"09EAC3DC-DABE-4E0B-B705-A85CF3EEE996","2021-07-28 08:17:32.0",1.70736,1.234,0.139778,0.0
29,"0A74B1FA-5A1A-4CA4-AB15-502CBACFCCC3","2021-03-13 09:58:24.0",2.92286,4.2,0.0695779,0.0
29,"0A967B8A-7359-4C3F-861F-C59D9FD73EFD","2020-05-19 18:20:37.0",0.84,0.0,0.0764564,
29,"0AC7C708-9C94-40EB-A6F4-74BDEA4633C9","2021-06-10 22:43:55.0",1.65,0.0,0.245224,0.0
29,"0AD74E35-B8B9-45DC-8E95-52E6BD3B82C3","2021-10-18 07:33:33.0",1.91412,1.02041,0.0546372,0.0
29,"0B17661E-0AA8-4DE2-BB84-6B5BE7DAEDB3","2021-10-20 16:53:50.0",,,,
29,"0B28BF87-4DA2-449B-942D-189E49FE26DC","2021-07-07 08:53:32.0",0.727059,0.56,0.162918,0.0
29,"0BD77B78-0598-4D77-ACF1-C0DBD19F3DC8","2020-12-15 14:45:16.0",1.77672,1.21756,0.112453,0.0
29,"0BE8F90D-807E-4329-AEAD-85482896C2CF","2021-07-30 16:53:26.0",1.596,1.27831,0.101908,0.0
29,"0BEDB37C-ADD9-45AA-89C4-359524D5B420","2021-05-05 20:04:08.0",1.13806,0.0,0.161765,0.0
29,"0C92A2EB-AE37-4C92-8F12-6645357FD0FC","2021-07-04 06:36:45.0",1.18618,0.316763,0.242859,0.0
29,"0CCDB9D2-5995-4F32-A332-5DC66BAB7163","2021-08-05 15:36:29.0",1.07143,0.866667,0.0618782,0.499291
29,"0E2B43AC-5FF3-4B40-8127-C8F9B002645C","2021-10-09 09:06:36.0",1.35208,0.666667,0.0894839,0.0
29,"0E346B14-DB1F-4889-A450-8BFD1D5F081B","2021-07-13 17:16:29.0",2.1225,1.09714,0.109503,0.0
29,"0E888807-11E3-4AF1-911E-01E99661D51D","2020-06-24 14:05:17.0",1.74194,1.34844,0.109566,2.62944
29,"0EBC73A5-BB9C-4521-B6AA-0D2B802D99AC","2021-06-11 14:39:26.0",1.86405,1.39284,0.0890341,0.0
29,"0EBD7758-F679-4910-BF54-13FCFB2F4C86","2021-10-03 16:45:01.0",2.74737,0.953333,0.0773506,0.0
29,"0EC4CFEA-D3B5-461D-81C0-5F26E5DBD152","2021-03-15 11:40:28.0",,,,
29,"0EC762FC-EEEF-410D-8A54-B19853AD97F9","2021-08-08 17:14:44.0",,,,
29,"0F2C7ED4-EDE8-4821-99B5-B7A2538AF7E1","2021-05-07 12:08:54.0",1.85094,1.20138,0.0447701,0.0
29,"0F5548E4-81BD-4677-851D-9879245D3CBA","2021-10-24 11:29:38.0",2.01051,1.43352,0.231637,0.0
29,"0F5D3D77-64AE-42C3-83DA-5A0074605A1A","2021-07-08 18:35:58.0",1.68,0.0,0.611316,0.0
29,"0F64C9AB-96E9-4220-907E-B3C79ED4C9CF","2021-06-19 13:17:06.0",1.69012,1.13491,0.188432,0.0
29,"0F962AA6-3330-4154-A20A-315EDFBFBCF0","2021-07-28 08:16:59.0",1.08462,0.0,0.0936927,0.0
29,"0F9CC2F6-C293-4894-8A3B-C8B2CC429B76","2021-08-18 15:11:32.0",1.37887,1.21279,0.0658943,0.0
29,"0FBCA61A-5B7E-44E0-A4DA-2CC29850BB70","2021-07-27 12:38:04.0",0.929663,0.75881,0.348707,0.0
29,"1001B880-5B79-4A0E-9D2A-41F7E35F80CF","2021-08-10 07:44:59.0",,,,
29,"1016D6B4-A5A8-44E9-8C82-F1A3D081731B","2021-11-10 18:50:06.0",1.12163,0.0,0.0525074,0.0
29,"1026BA99-146E-4DDC-AF2A-F35E940AC65A","2021-06-30 19:18:04.0",0.7425,1.5,0.265086,0.0
29,"10483507-243F-411F-BE9F-BD9B046D1DDD","2021-07-28 08:17:09.0",1.10432,0.785114,0.128456,0.0
29,"10534DF7-4A5C-4693-B6A0-A8BF3A657365","2021-08-11 20:32:58.0",1.94308,0.938417,0.360555,0.0
29,"10738D33-B056-4584-B87C-C19897D5D5A4","2021-08-15 15:15:59.0",1.30648,1.07179,0.066469,0.0
29,"10770DE9-F062-40DF-86BD-7A6CA23043CB","2021-05-04 16:33:54.0",2.21605,1.9538,0.223421,0.910899
29,"10FD6D8A-9CE1-4EA2-9EF0-1DE06B71DDFF","2021-05-30 17:23:11.0",1.02857,0.6,0.105921,0.0
29,"116DE9B3-0544-4C78-B3B1-06E8DF401971","2020-07-01 21:08:03.0",1.72401,1.24048,0.170897,0.0
29,"1217B95B-A523-45AC-96C6-CB1EA66CE90A","2020-06-06 19:08:35.0",1.07778,0.896,0.0449348,0.0
29,"122474FC-C5A8-41CA-8A48-9A6FC68C6C60","2020-06-06 17:01:08.0",1.59789,1.68375,0.089775,4.7264
29,"1286DBEC-C327-481E-AB91-8B05C0CC022A","2021-09-05 09:43:07.0",1.34791,0.958938,0.0840947,0.0
29,"129D8E1F-28C3-4D08-A24A-25543BDE10AC","2021-10-27 13:19:53.0",1.78789,1.43623,0.116822,0.0
29,"12D02CCB-F819-4CE6-B6A9-C8227FD368AA","2020-04-30 17:19:35.0",1.81412,0.0,0.259365,
29,"132B3891-8085-42C8-9A06-9FD18F349E40","2020-06-28 15:04:31.0",1.90025,2.0227,0.13377,2.38128
29,"136F32BA-B9A1-4123-9CEB-42440FAA58B3","2020-06-20 14:09:48.0",1.31592,0.966553,0.0785414,0.0
29,"13B7B6FC-094D-49D9-8CDC-313968CE6597","2021-04-18 10:20:57.0",,,,
29,"13C73650-9B03-4384-AE15-6932E72A864C","2021-05-05 13:54:19.0",1.31333,0.0,0.051196,0.0
29,"145E14E9-D391-4DD5-8347-089005D8C357","2021-09-01 17:48:09.0",,,,
29,"147FCB3E-93AB-4394-9A8D-B641B7538FA9","2021-09-02 19:07:53.0",0.810638,0.0,0.0471554,0.0
29,"14A78800-B601-4F6A-A93C-657EBFA771A8","2021-05-22 10:50:51.0",2.43692,1.32,0.0449526,0.0
29,"14B1CFC0-3250-4F2E-BCA9-788E338EA8D1","2021-10-11 12:24:48.0",1.07294,0.0,0.201476,0.0
29,"14D7CC71-678B-4488-84E8-C12B279E8EDC","2021-09-25 21:30:51.0",1.47882,0.0,0.0739754,0.0
29,"15315AF0-6828-4E61-A7DA-FFB178D96E21","2021-09-11 14:16:52.0",0.797143,0.0,0.0581409,0.0
